Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
113,Quinn,Top,51.09%,1.13%,0.23%,5.39,7.02,6.97,6.25,7,20942,20656,1436,161.3,2.9,4.42,11718,31,3
114,Rakan,Support,48.40%,2.22%,0.03%,4.27,1.61,5.14,13.23,3,6297,14906,3908,29.1,0.07,0.09,7301,40,4
115,Rammus,Jungle,52.30%,1.70%,0.36%,3.16,4.48,5.46,10.51,7,12967,27861,8204,30.7,5.61,76.52,10036,21,6
116,Rek'Sai,Jungle,49.41%,2.09%,0.31%,3.6,6.84,5.48,6.97,7,13274,27585,12135,23.6,8.25,75.96,10507,29,3
117,Renekton,Support,47.19%,0.53%,0.90%,25.04,2.97,3.25,1.89,4,7481,12646,2700,109,1.1,0.77,6672,44,0
118,Renekton,Top,47.57%,2.97%,0.90%,4.85,5.37,5.89,5.56,6,17311,30828,7473,178.8,2.73,3.67,11628,13,1
119,Rengar,Jungle,49.95%,1.83%,0.32%,4.89,8.02,6.22,5.49,8,16697,28336,10679,38.3,11.14,78.98,11403,20,6
120,Rengar,Top,48.98%,0.53%,0.32%,10.15,6.96,6.21,5.53,7,18950,29557,7540,157,4.37,5.25,11760,33,3
121,Riven,Top,48.16%,2.49%,0.12%,9.83,6.31,5.93,5.03,8,16348,23112,4335,169.6,3.05,4.76,11544,34,5
122,Rumble,Middle,50.82%,0.66%,0.04%,18.77,6.83,5.54,8.19,6,21720,22350,3688,157.5,1.48,3.67,11098,25,3
123,Rumble,Top,49.61%,0.58%,0.04%,4.87,5.45,5.89,7.4,6,20368,23147,3504,160.8,1.52,3.56,10854,38,1
124,Ryze,Middle,51.21%,1.09%,0.04%,4.22,5.72,5.67,6.54,7,21010,23451,6685,186.5,4.35,11.38,11781,29,3
125,Ryze,Top,44.75%,0.47%,0.04%,5.44,4.92,5.94,5.57,6,20630,23764,6312,192.5,3.08,9.05,11719,41,6
126,Sejuani,Jungle,49.95%,1.70%,0.04%,4.01,4.27,4.72,10.2,5,12111,31276,7731,36.6,6.43,76.55,10177,25,10
127,Senna,Support,50.26%,8.53%,1.55%,NaN,3.14,5.22,12.12,5,13006,17086,9534,25.4,0.31,0.54,8358,1,0
128,Sett,Jungle,48.71%,2.15%,1.32%,NaN,5.06,5.5,8.05,6,14609,30359,7320,55.2,6.15,61.27,10241,32,12
129,Sett,Support,48.54%,3.17%,1.32%,NaN,3.21,5.64,8.03,4,10077,20211,1469,49.9,0.35,0.48,7490,30,1
130,Sett,Top,47.92%,3.13%,1.32%,NaN,5.51,6.17,5.82,6,19567,29413,3555,156.8,2.15,2.92,11161,19,3
131,Shaco,Jungle,50.65%,3.13%,0.64%,7.65,7.56,5.48,7.54,9,15546,23221,6750,32.7,8.91,70.32,10936,17,1
132,Shaco,Support,50.67%,0.88%,0.64%,27.62,4.12,5.16,9.47,6,15944,15394,1574,32,0.61,0.45,8317,17,8
133,Shen,Support,52.22%,0.90%,0.13%,8.9,2.86,4.05,7.94,3,7851,15008,1402,67.3,0.36,0.55,7063,33,6
134,Shen,Top,50.62%,3.03%,0.13%,4.4,4.59,4.98,9.94,5,15511,25237,3036,147.7,1.22,2.29,10409,17,6
135,Shyvana,Jungle,51.79%,2.69%,0.18%,3.51,6.23,4.81,6.52,6,17895,28846,11061,43.9,9.94,90.88,11175,8,2
136,Singed,Top,52.17%,1.03%,0.04%,4.85,4.54,6.24,7.8,5,19863,29119,5023,177.9,1.8,1.66,11145,20,6
137,Sion,Top,52.84%,1.27%,0.02%,4.81,5.03,6.1,7.5,6,19754,34222,3212,175.6,1.81,2.44,11343,4,9
138,Sivir,ADC,51.19%,1.83%,0.03%,3.1,6.08,5.36,8.62,7,19933,17588,2477,197.3,2.51,8.82,12280,7,1
139,Skarner,Jungle,47.52%,0.48%,0.01%,3.64,3.9,4.92,8.57,4,9779,24455,7506,28.8,7.44,80.52,9833,42,1
140,Sona,Support,51.66%,1.86%,0.01%,5.84,2.38,5.52,12.69,4,10030,13659,10333,16.8,0.16,0.21,7607,22,8
141,Soraka,Support,51.76%,4.43%,0.28%,5.61,0.96,5.27,13.24,2,5716,12062,18579,18.1,0.06,0.09,7076,12,4
142,Swain,Support,49.90%,1.79%,0.12%,22.45,4.4,6.11,10.17,8,16075,22354,6232,36.5,0.43,0.69,8458,19,7
143,Sylas,Jungle,46.16%,1.95%,1.19%,NaN,6.53,5.91,6.89,8,15875,32769,14692,34.2,7.42,71.39,10177,36,7
144,Sylas,Middle,47.79%,2.57%,1.19%,NaN,7.44,6.63,6.89,9,20255,29832,9174,140.6,1.76,5.78,11006,31,8
145,Sylas,Support,53.48%,0.89%,1.19%,NaN,4.1,3.81,3.26,5,9352,14359,4123,88.4,0.72,1.28,6593,25,10
146,Sylas,Top,49.21%,1.14%,1.19%,NaN,6.06,6.7,6.27,8,19272,30188,9146,144.1,1.75,3.55,10609,36,5
147,Syndra,Middle,47.36%,2.52%,0.49%,4.54,6.82,5.98,6.73,7,21786,17755,2462,174.4,1.61,6.64,11566,22,4
148,Tahm Kench,Support,46.80%,0.53%,0.03%,3.88,2.01,5.32,9.41,3,7766,20130,4412,38,0.23,0.24,7106,46,7
149,Talon,Middle,51.98%,1.86%,0.39%,5.43,8.65,6.49,6.2,7,20603,24351,4953,160.8,4.56,7.53,12128,10,5
150,Taric,Support,52.06%,1.39%,0.07%,4.25,1.52,5.1,13.02,3,5217,16769,9201,32.4,0.13,0.15,7223,28,10
151,Teemo,Support,50.92%,0.54%,0.51%,12.33,3.23,4.77,4.3,6,13162,12022,1342,74.3,0.87,1.18,7226,35,16
152,Teemo,Top,50.39%,2.31%,0.51%,5.56,5.46,6.28,5.5,7,24553,21230,3864,169,3.06,4.21,11455,18,9
153,Thresh,Support,48.88%,11.49%,1.14%,8.91,2.01,5.68,12.71,4,7093,16661,1838,32.2,0.07,0.08,7452,7,1
154,Tristana,ADC,48.39%,2.48%,0.08%,4.05,7.91,6.17,6.74,9,19354,19374,2872,167.4,2.52,8.6,12369,17,3
155,Trundle,Jungle,49.23%,1.76%,0.09%,5.06,4.4,4.5,8.72,7,10634,31862,15923,32.5,7.16,71.61,9964,33,14
156,Tryndamere,Top,48.42%,1.73%,0.48%,5.59,6.05,5.8,4.12,7,17853,31771,9135,189.2,7.46,8.21,12627,10,8
157,Twisted Fate,Middle,49.64%,3.27%,0.29%,5.1,5.11,5.51,8.67,6,17093,21173,4458,165.1,1.41,5.7,11651,30,1
158,Twisted Fate,Support,44.87%,0.62%,0.29%,12.17,2.6,3.6,3.94,3,7107,10197,1685,98.6,0.43,1.43,6803,48,0
159,Twitch,ADC,50.19%,3.17%,0.14%,5.41,8.74,6.58,7.36,9,22322,20027,2210,166.2,2.65,10.46,12498,5,3
160,Twitch,Jungle,46.08%,0.57%,0.14%,7.69,8.48,6.61,6.91,8,18557,23157,6536,49.7,6.38,67.29,11346,40,1
161,Udyr,Jungle,50.39%,1.05%,0.03%,3.41,5.74,5.45,6.06,6,11835,27463,10202,37.2,11.31,79.04,10827,31,6
162,Urgot,Top,50.91%,1.90%,0.26%,3.37,6.73,5.81,5.29,6,19276,24394,4245,170.8,2.43,3.12,11908,11,7
163,Varus,ADC,47.26%,1.66%,0.25%,4.84,6.28,5.99,8.01,8,19189,16898,2486,173.7,1.61,6.21,11610,19,2
164,Vayne,ADC,50.65%,6.26%,1.20%,7.46,7.42,6.23,6.11,8,18956,20055,3607,167.1,1.91,7.55,11955,12,1
165,Veigar,Middle,49.31%,1.51%,0.12%,4.12,7.31,6.08,6.74,8,20583,17645,1891,168.5,1.51,5.45,11751,26,1
166,Veigar,Support,45.17%,0.58%,0.12%,6.77,4.22,5.73,6.82,5,12171,13217,1168,64.9,0.62,1.44,8123,43,7
167,Vel'Koz,Middle,51.57%,1.47%,0.11%,7.31,6.64,5.49,7.84,6,24993,16186,1402,171.8,1.31,4.48,11545,8,1
168,Vel'Koz,Support,51.01%,1.62%,0.11%,8.15,4.29,5.95,8.84,6,18576,13609,1073,44.4,0.61,1.08,8669,21,5
169,Vi,Jungle,50.99%,3.56%,0.08%,4.54,6.17,5.81,7.19,8,13633,22560,6628,31.2,8,81.44,10708,28,4
170,Viktor,Middle,50.75%,1.27%,0.03%,4.76,6.48,5.59,6.9,7,23589,16738,2156,180.6,1.71,6.95,11665,16,1
