Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
132,Udyr,Jungle,52.11%,1.51%,0.06%,2.59,5.91,5.48,6.13,6,12381,28230,10452,37.5,11.58,79.25,11033,24,1
133,Urgot,Top,51.68%,2.83%,0.46%,2.47,6.93,5.8,5.28,6,20182,25002,4702,171.5,2.6,3.48,12067,6,1
134,Varus,ADC,51.72%,5.35%,1.13%,3.36,6.92,5.82,8.44,7,22251,16659,2478,175.8,1.66,5.31,11977,4,5
135,Vayne,ADC,51.43%,7.83%,1.60%,5.09,7.59,6.17,6.05,8,19375,20257,3747,164.8,1.95,7.03,12005,12,6
136,Veigar,Middle,49.39%,2.42%,0.25%,3.19,7.32,6.04,6.75,7,20767,17700,1842,166.9,1.41,5.06,11708,20,2
137,Veigar,Support,46.61%,0.78%,0.25%,4.94,3.97,5.58,6.67,6,11705,12792,987,61,0.54,1.18,7919,33,3
138,Vel'Koz,Middle,52.01%,1.89%,0.15%,5.11,6.67,5.45,7.9,7,25829,16469,1458,168.2,1.26,4.09,11510,9,5
139,Vel'Koz,Support,52.08%,1.79%,0.15%,5.83,4.3,6.15,8.91,6,19370,13989,1111,46.1,0.62,1.18,8837,12,4
140,Vi,Jungle,51.81%,2.75%,0.06%,3.37,5.96,5.91,7.38,6,13500,23734,6916,32.3,7.68,81.73,10799,28,3
141,Viktor,Middle,54.24%,1.43%,0.02%,3.41,6.75,5.49,7.07,7,24723,16949,2100,178.4,2.03,6.46,11840,6,20
142,Vladimir,Middle,52.24%,2.60%,1.22%,3.71,6.92,5.48,6.25,7,23250,29144,23295,179.7,2.1,4.31,11769,5,4
143,Vladimir,Top,47.80%,1.41%,1.22%,3.88,5.03,5.77,5.81,5,21300,28314,21805,178.3,1.6,3.54,11084,26,6
144,Volibear,Jungle,47.77%,6.53%,1.55%,3.19,5.2,5.76,8.05,7,13835,32583,9773,41,6.68,75.51,10543,20,8
145,Volibear,Top,46.85%,3.56%,1.55%,3.49,5.13,6.22,6.25,6,17957,30516,5267,149.7,2.2,3.67,10850,27,3
146,Warwick,Jungle,53.15%,4.24%,0.40%,3.37,6.64,5.96,7.66,7,12941,34020,16822,33.6,7.58,74.68,10922,12,0
147,Wukong,Jungle,53.23%,1.95%,0.82%,4.37,6.56,5.33,7.31,7,14359,26131,8318,45.5,7.31,70.18,10981,15,3
148,Wukong,Top,51.01%,1.85%,0.82%,4.62,6.47,5.57,5.98,7,18378,25287,4541,161.1,2.34,3.58,11647,16,2
149,Xayah,ADC,47.93%,2.74%,0.06%,3,7.15,5.89,7.25,7,20727,18845,2781,179.6,2.49,7.99,12383,16,0
150,Xerath,Middle,52.76%,1.72%,0.17%,3.44,6.78,5,8.89,6,25775,15206,1237,165.9,1.1,4.53,11508,3,0
151,Xerath,Support,53.34%,1.56%,0.17%,6.44,4.35,5.54,9.51,5,18578,12857,1006,46.5,0.57,1.2,8741,5,5
152,Xin Zhao,Jungle,47.04%,1.66%,0.03%,3.12,5.71,6.23,7.35,6,14536,30896,15244,30.4,8.62,72.62,10383,36,3
153,Yasuo,ADC,49.10%,1.64%,5.19%,15.69,7.85,7,6.78,6,19381,22643,4838,181.7,4.04,8.18,12666,7,2
154,Yasuo,Middle,48.97%,5.75%,5.19%,5.95,7.23,7.08,5.9,7,19603,23201,4651,181,4.39,7.14,12336,2,0
155,Yasuo,Top,46.29%,1.28%,5.19%,6.04,6.12,7.38,5.19,6,19492,24220,4531,187.3,4.32,6.29,12229,22,0
156,Yorick,Top,50.39%,1.21%,0.15%,3.92,4.8,5.28,4.7,5,20093,26557,6850,184.9,2.95,2.89,11975,24,6
157,Yuumi,Support,51.43%,7.60%,5.59%,NaN,1.65,3.66,14.85,3,8370,7394,14571,7.1,0.11,0.12,7361,1,0
158,Zac,Jungle,52.24%,4.59%,0.92%,3.55,4.27,4.33,11.05,5,13218,36453,31156,36.1,5.36,75.2,9960,7,1
159,Zed,Middle,49.18%,4.26%,3.15%,3.75,9.03,6.43,5.61,8,22561,21272,3204,161.2,1.82,3.32,12126,1,0
160,Ziggs,Middle,47.49%,1.05%,0.03%,3.41,5.56,5.46,7.86,5,25826,16358,1525,176.8,1.56,5.33,11576,23,1
161,Zilean,Support,52.04%,1.60%,0.09%,4.11,2.52,4.99,11.4,3,11369,14629,5610,39.7,0.29,0.49,8012,17,1
162,Zoe,Middle,46.08%,1.84%,0.35%,NaN,6.76,5.85,7.28,6,22043,18546,3593,146.7,0.87,3.28,10816,30,0
163,Zyra,Support,51.14%,2.72%,0.25%,4.73,3.65,6.24,10.07,6,18281,15319,1584,39.2,0.7,1.25,8842,16,12
"Champion.gg isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games or anyone officially involved in producing or managing League of Legends. League of Legends and Riot Games are trademarks or registered trademarks of Riot Games, Inc. League of Legends © Riot Games, Inc.",,,,,,,,,,,,,,,,,,,
Blitz App • FortniteMaster • StatsRealmRoyale • PUBG‌ • ProBuilds • Store‌ • TSM News‌ • ChampionSelect‌ • LoLCounter‌ • NewsOfLegends • DotaHut • Terms of Service • Privacy Policy • Contact Us • Advertise with us,,,,,,,,,,,,,,,,,,,
