Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
178,Yasuo,Middle,49.25%,5.68%,5.27%,4.1,7.27,7.02,5.74,8,19405,22709,4340,176.2,4.5,6.97,12235,2,0
179,Yorick,Top,51.37%,1.48%,0.15%,3.24,4.74,5.16,4.77,5,20210,26477,6949,185.5,3.01,3.3,12033,16,0
180,Yuumi,Support,49.99%,7.97%,3.39%,NaN,1.61,3.66,14.53,4,8348,7408,14366,6.7,0.09,0.13,7344,1,0
181,Zac,Jungle,51.39%,4.67%,1.03%,2.91,4.1,4.35,11.02,7,13134,36498,31025,37,5.19,74.17,9894,7,0
182,Zed,Middle,48.46%,4.55%,3.16%,2.76,9.09,6.41,5.59,9,22524,21230,3175,158.1,1.9,3.69,12116,1,0
183,Ziggs,Middle,48.34%,1.02%,0.02%,2.81,5.58,5.55,7.71,8,25282,16238,1347,170.2,1.47,5.08,11412,27,0
184,Zilean,Support,51.21%,1.74%,0.12%,3.05,2.57,5.03,11.44,4,11799,15014,5666,41.8,0.36,0.53,8124,19,0
185,Zoe,Middle,46.81%,1.85%,0.31%,NaN,6.62,5.65,7.17,8,22144,18366,3515,145.4,0.86,3.64,10826,32,0
186,Zyra,Support,52.83%,2.61%,0.27%,4.01,3.75,6.11,10.06,6,18302,15192,1588,40.4,0.72,1.22,8923,6,0
"Champion.gg isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games or anyone officially involved in producing or managing League of Legends. League of Legends and Riot Games are trademarks or registered trademarks of Riot Games, Inc. League of Legends © Riot Games, Inc.",,,,,,,,,,,,,,,,,,,
Blitz App • FortniteMaster • StatsRealmRoyale • PUBG‌ • ProBuilds • Store‌ • TSM News‌ • ChampionSelect‌ • LoLCounter‌ • NewsOfLegends • DotaHut • Terms of Service • Privacy Policy • Contact Us • Advertise with us,,,,,,,,,,,,,,,,,,,
