SPLIT,SEASON,Champion,picks,bans,presence,avg bt,wins,losses,winrate,KDA,GT,CSM,DPM,CSD-15MIN
SUMMER,S10,Irelia Irelia,26,47,5%,7.6,11,15,42%,1.8,32:37:00,8.7,358,9.7
SUMMER,S10,KogMaw KogMaw,42,21,4%,5.8,13,29,31%,2.6,31:34:00,8.8,657,-5.5
SUMMER,S10,Yasuo Yasuo,25,36,4%,5.9,13,12,52%,2.6,33:57:00,8.7,355,-1.2
SUMMER,S10,Ryze Ryze,45,16,4%,6.8,18,27,40%,2.7,30:57:00,9.7,536,4.2
SUMMER,S10,Sivir Sivir,48,12,4%,7.1,21,27,44%,3.2,31:46:00,9.8,467,-3.2
SUMMER,S10,Viktor Viktor,40,19,4%,8.1,18,22,45%,2.9,34:05:00,8.6,606,1.4
SUMMER,S10,Sion Sion,44,13,4%,8.3,20,24,45%,2.6,34:28:00,7.2,358,-3.8
SUMMER,S10,Jhin Jhin,51,5,4%,7.2,22,29,43%,4.5,32:11:00,9.1,451,1.3
SUMMER,S10,Morgana Morgana,26,26,3%,8.3,13,13,50%,3.9,32:27:00,3.9,285,1.2
SUMMER,S10,Vladimir Vladimir,33,17,3%,8,12,21,36%,1.9,32:18:00,8.1,487,1.8
SUMMER,S10,Ziggs Ziggs,29,20,3%,5.4,13,16,45%,3.4,31:44:00,8.8,702,3.6
SUMMER,S10,Lissandra Lissandra,24,19,3%,8.1,13,11,54%,3.1,33:28:00,7.9,432,-0.7
SUMMER,S10,Gnar Gnar,32,10,3%,8.4,18,14,56%,2.7,31:51:00,8.2,483,15.7
SUMMER,S10,Alistar Alistar,32,9,3%,8.4,19,13,59%,4.2,33:04:00,1,137,0.4
SUMMER,S10,Shen Shen,27,14,3%,6.5,15,12,56%,4.2,32:58:00,5.8,299,-4.5
SUMMER,S10,Heimerdinger Heimerdinger,12,29,3%,3.1,3,9,25%,2.3,31:09:00,7.8,621,-11.2
SUMMER,S10,Fiora Fiora,17,22,2%,6.1,7,10,41%,2,29:36:00,9.4,391,11.1
SUMMER,S10,Poppy Poppy,27,10,2%,7.1,12,15,44%,2,30:54:00,6.6,323,-5.1
SUMMER,S10,Taliyah Taliyah,15,21,2%,5.5,5,10,33%,3,31:49:00,6.6,450,-10.9
SUMMER,S10,Zilean Zilean,17,17,2%,7,7,10,41%,5.1,33:56:00,4,299,5.6
SUMMER,S10,Quinn Quinn,15,18,2%,8.6,7,8,47%,2.4,30:31:00,8.4,598,14.3
