Split,Season,Player,Position,Games,Win Rate,KLDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP %,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD-15min,CSD-15min,XPD-15MIN,FB%,FB victim,penta kills,solo kills
Spring,S8,Fénec,JUNGLE,17,52.90%,3.9,1.8,2.2,6.9,4.9,327,70.60%,10.8,211,2.41,1.24,0.41,0.28,92,-5,-82,29.40%,11.80%,0,1
Spring,S8,G4,MID,6,33.30%,2.7,1.5,3.3,7.3,8.7,373,66.40%,28.1,563,1.08,0.63,0.19,0.22,-234,-7,-127,0%,16.70%,0,-
Spring,S8,GBM,JUNGLE,1,100%,3.3,6,4,7,5.1,380,72.20%,22.7,434,0.91,0.31,0.25,0.13,-415,-58,-2054,100%,0%,0,-
Spring,S8,GBM,MID,45,82.20%,6.3,4.3,1.7,6.3,9,443,70.40%,26.6,580,0.93,0.48,0.13,0.17,270,-2,51,22.20%,0%,0,10
Spring,S8,GRAFiT,JUNGLE,6,16.70%,1.6,1,3.2,4,3.8,273,54.60%,8.1,165,1.11,0.64,0.19,0.25,-1504,-20,-937,33.30%,16.70%,0,-
Spring,S8,Gadget,ADC,23,65.20%,4.8,4.3,2,5.2,10.1,453,77.70%,34.8,737,1.11,0.4,0.28,0.15,236,9,-6,21.70%,26.10%,0,3
Spring,S8,Gaeng,SUPPORT,33,63.60%,5.8,0.8,1.5,8.1,1.5,268,84.00%,9,181,2.12,1.35,0.31,0.47,243,-6,261,18.20%,18.20%,0,-
Spring,S8,Gambite,MID,26,42.30%,2.6,3,2.8,4.1,9.2,395,71.50%,30,576,0.96,0.51,0.2,0.14,-56,-5,-41,19.20%,7.70%,0,8
Spring,S8,Gango,ADC,28,53.60%,6.8,4.8,1.4,4.9,10.6,466,75.30%,34.9,719,1.4,0.52,0.36,0.15,310,6,130,28.60%,3.60%,1,3
Spring,S8,Gariaru,MID,28,53.60%,5,2.6,1.8,6.6,8.9,393,71.60%,24.7,490,1.38,0.62,0.28,0.23,-225,-7,-151,7.10%,7.10%,0,3
Spring,S8,Gear,MID,6,16.70%,3,2.3,1.8,3.2,9.4,375,71.80%,27.8,485,1.1,0.57,0.35,0.21,-208,-3,-111,16.70%,0%,0,1
Spring,S8,Gemini,JUNGLE,21,28.60%,2.6,0.7,2.4,5.6,4.5,291,60.70%,8,145,3.42,1.93,0.66,0.51,-257,-3,-286,38.10%,4.80%,0,-
Spring,S8,GeneralMint,ADC,17,52.90%,2.7,3.1,2.5,3.7,9.5,414,67.00%,31.3,511,0.96,0.3,0.27,0.13,-153,1,-47,23.50%,11.80%,0,4
Spring,S8,Genthix,SUPPORT,25,76%,5.4,1.1,2.1,10.3,1.7,274,72.00%,9,188,2.27,1.15,0.37,0.28,194,6,145,32%,4%,0,-
Spring,S8,Ggoong,MID,32,25%,3,2.4,2.1,4.1,9,380,73.80%,28.5,505,-,0.63,0.27,0.11,-,-,-,-,-,0,-
Spring,S8,Ghost,ADC,44,38.60%,3.4,2.5,1.7,3.3,10.2,415,63.50%,26.2,445,1.31,0.46,0.47,0.15,-288,-8,-141,25%,9.10%,0,1
