Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
108,Olaf,Jungle,50.05%,2.71%,0.58%,2.33,6.69,6.03,6.31,7,15547,30188,10587,35.9,8.93,73.19,10791,22,4
109,Olaf,Top,47.57%,0.39%,0.58%,2.37,6.56,6.77,5.44,8,20042,29752,6425,145.9,2.85,3.45,11357,38,0
110,Orianna,Middle,50.85%,2.29%,0.10%,2.63,6.07,5.72,9.57,9,20304,17578,1897,162.2,1.8,6.47,11304,19,2
111,Ornn,Support,52.54%,0.40%,0.20%,1.25,2.42,3.94,5.14,4,8433,14736,1142,80.9,0.38,0.56,6615,41,1
112,Ornn,Top,49.22%,2.06%,0.20%,1.24,3.97,5.25,8.56,7,17018,26918,3175,149,0.79,1.58,10130,31,12
113,Pantheon,Jungle,46.24%,0.57%,0.34%,3.47,6.18,6.52,7.51,6,13536,25481,7309,38.6,5.22,55.77,10013,47,2
114,Pantheon,Middle,46.18%,1.24%,0.34%,4.7,7.77,6.74,7.38,7,18593,23743,4272,124.3,1.52,3.36,10943,44,2
115,Pantheon,Support,49.17%,1.04%,0.34%,5.79,4.54,5.92,7.59,6,11097,17070,1915,52.3,0.6,0.78,7989,38,0
116,Poppy,Jungle,50.33%,0.49%,0.05%,3.29,5.43,5.43,8.35,6,14585,25737,6208,50.2,7.11,60.73,10300,33,3
117,Poppy,Support,50.77%,0.32%,0.05%,3.32,3.32,4.83,7.14,4,10199,16868,1838,59.7,0.66,0.9,7460,39,5
118,Poppy,Top,48.19%,0.89%,0.05%,2.48,4.89,5.42,7.35,6,17718,25670,3680,141,1.55,2.29,10344,44,2
119,Pyke,Support,48.24%,5.91%,2.07%,NaN,6.6,6.79,8.04,9,10037,18962,4607,36.1,0.27,0.3,10454,8,1
120,Qiyana,Middle,44.07%,1.08%,0.06%,NaN,8.17,7.33,6.53,10,19816,22569,3935,135.7,1.75,3.49,11130,45,0
121,Quinn,Top,50.49%,1.21%,0.27%,3.85,7.5,7.13,6.22,9,21372,21055,1568,150,3.01,4.64,11736,27,6
122,Rakan,Support,49.71%,2.33%,0.04%,2.33,1.7,5.47,13.43,6,6718,15596,4037,26.5,0.09,0.11,7443,36,4
123,Rammus,Jungle,53.40%,2.28%,0.56%,2.12,4.77,5.75,10.5,7,13438,27867,8073,32.1,6.32,71.4,10084,16,1
124,Rek'Sai,Jungle,46.26%,1.28%,0.12%,1.87,6.49,6.11,6.71,8,12680,27945,11558,22.8,7.32,72.09,10137,44,2
125,Renekton,Top,46.88%,3.10%,0.82%,2.42,5.59,6.08,5.7,7,17541,30820,7177,163.8,2.74,3.58,11362,19,1
126,Rengar,Jungle,45.14%,1.72%,0.17%,2.24,7.63,6.91,5.55,9,16094,28867,10382,34.9,9.46,74.35,10961,42,3
127,Rengar,Top,48.93%,0.40%,0.17%,3.19,7.87,6.51,5.31,8,20104,28745,6959,144.9,4.35,5.53,11775,24,12
128,Riven,Top,47.18%,2.01%,0.09%,3.24,6.68,6.21,5.35,7,16793,23667,4465,154,2.87,4.3,11358,41,4
129,Rumble,Middle,50.28%,0.44%,0.04%,5.98,7.18,6.05,7.98,7,22344,23697,3793,145.3,1.52,3.38,11015,27,5
130,Rumble,Top,49.17%,0.50%,0.04%,2.46,5.6,6.19,7.22,7,21052,24158,3532,149.7,1.25,2.66,10689,36,1
131,Ryze,Middle,47.21%,1.17%,0.05%,2.38,6.11,6.11,6.64,7,21486,24153,6311,170.9,3.68,9.59,11602,38,3
132,Ryze,Top,46.73%,0.41%,0.05%,2.66,4.91,5.96,5.64,6,20162,23224,5661,177,3.22,7.73,11322,42,4
133,Sejuani,Jungle,50.85%,1.52%,0.04%,2.56,4.37,5.16,10.31,6,12390,32068,7777,38.4,6.84,72.95,10231,24,9
134,Senna,Support,50.44%,7.25%,1.04%,NaN,3.25,5.38,12.18,7,12897,16989,9376,25.8,0.31,0.56,8482,2,0
135,Sett,Jungle,52.01%,2.37%,1.43%,NaN,5.48,5.86,7.84,8,15909,31268,7447,59.5,6.34,55.76,10516,15,2
136,Sett,Support,49.29%,2.45%,1.43%,NaN,3.56,5.79,8.11,5,11034,21322,1671,50.7,0.53,0.64,7769,28,4
137,Sett,Top,48.79%,3.78%,1.43%,NaN,5.97,6.35,5.85,8,20188,30197,3661,144.8,2.09,2.65,11108,12,0
138,Shaco,Jungle,50.01%,3.37%,0.87%,2.77,7.26,5.72,7.47,9,15289,23407,6764,31.5,8.67,64.81,10615,20,4
139,Shaco,Support,50.17%,0.74%,0.87%,7.02,4.41,5.3,9,5,16298,15868,1745,33.6,0.67,0.76,8482,17,3
140,Shen,Support,51.46%,0.91%,0.12%,3.72,3.06,4.55,9.08,7,8378,16759,1598,54.5,0.41,0.69,7344,33,6
141,Shen,Top,51.37%,2.62%,0.12%,2.63,5.09,5.12,10.18,8,16108,25899,3043,134.3,1.4,2.26,10350,15,3
142,Shyvana,Jungle,53.35%,2.48%,0.17%,2.61,6.17,5.18,6.58,7,17360,28788,10509,41.8,9.48,85.24,10940,6,3
143,Singed,Top,50.86%,0.86%,0.05%,2.21,4.93,6.76,7.73,7,21217,30220,5091,168.5,1.82,1.94,11155,17,4
144,Sion,Support,53.39%,0.22%,0.02%,3.84,3.65,5.63,7.94,5,12231,21926,1507,72.1,0.78,0.8,7919,30,3
145,Sion,Top,51.84%,0.99%,0.02%,2.69,5.23,6.02,7.89,7,20021,34208,3315,162.4,1.59,2.31,11168,7,2
146,Sivir,ADC,52.10%,1.81%,0.05%,1.93,6.36,5.69,8.98,9,20105,18347,2772,180,2.46,7.39,12071,9,1
147,Skarner,Jungle,49.80%,0.53%,0.02%,2,4.34,5.5,8.68,6,10257,25902,7830,28.2,7.7,77.45,10009,38,0
148,Sona,Support,52.87%,2.23%,0.03%,3.7,2.63,5.92,13.4,6,10856,14873,10725,16.8,0.18,0.32,7955,11,4
149,Soraka,Support,51.58%,4.05%,0.24%,2.8,1.1,5.59,13.42,3,6419,12862,18896,16.9,0.08,0.12,7268,12,4
150,Swain,Support,52.84%,2.46%,0.27%,7.14,4.94,6.18,10.82,7,17947,24174,7093,36.7,0.47,0.7,8925,6,2
151,Sylas,Jungle,47.56%,1.91%,1.13%,NaN,6.75,6.32,7.05,9,16286,33037,14037,33.9,6.74,67.89,10239,30,1
152,Sylas,Middle,46.76%,2.66%,1.13%,NaN,7.83,7.17,6.9,10,20411,30071,8636,122.7,1.81,4.68,10766,39,2
153,Sylas,Top,45.84%,0.97%,1.13%,NaN,6.52,7.02,6.14,9,19456,30278,8783,130.3,1.75,3.37,10454,45,6
154,Syndra,Middle,48.81%,2.39%,0.50%,2.41,7.33,6.2,6.91,8,22593,18210,2586,159,1.47,4.94,11405,21,3
155,Tahm Kench,Support,44.75%,0.60%,0.04%,2.85,2.54,5.61,9.35,6,8863,21893,4781,39.5,0.32,0.47,7483,45,1
156,Tahm Kench,Top,45.51%,0.39%,0.04%,3.85,6.06,5.63,7.03,7,19058,33607,9677,137.2,1.72,1.9,10869,37,7
157,Taliyah,Jungle,45.69%,0.34%,0.01%,5.53,6.63,6.59,8.09,9,18401,25149,8564,33.8,6.4,73.41,10438,45,2
158,Talon,Middle,46.81%,2.18%,0.41%,3.08,9,7.1,6.25,9,20750,25046,4843,142.2,3.98,6.17,11876,28,3
159,Taric,Support,53.24%,1.32%,0.05%,2.63,1.67,5.52,13.36,4,5546,18013,9126,31.7,0.17,0.21,7399,25,2
160,Teemo,Jungle,52.66%,0.76%,1.50%,6.47,6.08,6.48,6.28,8,23037,21745,5445,99.1,6.72,33.57,11025,25,3
161,Teemo,Support,49.88%,0.82%,1.50%,6.03,3.42,5.12,4.84,6,13775,12755,1455,67.3,1.12,1.44,7446,32,1
162,Teemo,Top,51.17%,3.91%,1.50%,3.31,5.89,6.42,5.88,9,25422,21304,3674,155.3,2.66,3.87,11384,5,0
163,Thresh,Support,48.26%,9.22%,0.79%,3.46,2.23,6.1,12.96,5,7739,17807,1922,32.5,0.09,0.13,7665,16,4
164,Tristana,ADC,47.91%,3.75%,0.23%,2.59,8,6.37,6.73,9,18718,19488,2965,150.2,2.36,6.51,11952,19,1
165,Trundle,Jungle,50.82%,1.91%,0.12%,3.15,4.86,5.14,8.48,6,11698,32556,15711,33.9,7.4,68.39,10202,26,6
166,Trundle,Top,47.86%,0.28%,0.12%,2.56,5.26,5.94,5.84,6,16867,32175,10744,150,2.91,3.81,11265,39,0
167,Tryndamere,Jungle,51.46%,0.79%,0.66%,3.5,6.52,5.84,4.97,7,16447,32980,11614,108.9,10.69,45.21,11986,19,5
168,Tryndamere,Top,48.63%,2.16%,0.66%,3,6.52,6.25,4.49,9,18545,32069,8630,170.4,6.64,7.94,12340,11,2
169,Twisted Fate,Middle,47.55%,2.06%,0.11%,2.15,5.2,6.09,8.52,8,17787,21845,4256,149.8,1.44,5.06,11361,43,4
170,Twitch,ADC,51.93%,2.40%,0.14%,2.98,9.15,6.51,7.59,9,22134,20474,2741,152.9,2.88,8.86,12398,3,2
171,Twitch,Jungle,46.73%,0.68%,0.14%,3.59,7.9,6.91,7.12,8,17726,23897,6922,44.9,6.58,66.56,11155,41,5
172,Udyr,Jungle,50.65%,1.30%,0.06%,2.03,5.9,5.84,6.02,7,12334,27759,9980,35.8,11.21,75.03,10810,31,3
173,Urgot,Top,53.61%,2.61%,0.58%,2,7.18,5.99,5.55,7,20489,25214,4477,162.3,2.64,3.18,11977,4,0
174,Varus,ADC,45.80%,2.25%,0.30%,3.11,6.43,6.38,8.08,8,19112,17727,2680,156.7,1.63,5.67,11394,22,3
175,Vayne,ADC,50.34%,5.94%,1.46%,3.66,8.03,6.63,6.28,10,19598,20765,3799,153.9,2.04,6.7,11964,11,0
176,Vayne,Top,46.87%,1.31%,1.46%,5.48,6.73,7.13,4.25,8,20482,21627,2844,154.9,2.48,5.7,11550,43,8
177,Veigar,Middle,51.61%,2.63%,0.30%,2.74,7.71,6.46,7.02,9,21382,18133,1939,150.5,1.47,4.04,11518,16,4
178,Veigar,Support,48.83%,1.00%,0.30%,4.06,4.46,6.12,7.07,7,12819,13866,1220,58.6,0.54,1.3,8262,40,7
179,Vel'Koz,Middle,53.99%,1.50%,0.19%,3.66,7.32,5.93,8.27,7,26409,17096,1535,153.3,1.31,3.62,11466,3,1
180,Vel'Koz,Support,51.44%,1.75%,0.19%,4.41,4.82,6.23,9.13,8,20162,14490,1196,47.9,0.6,1.16,9091,14,5
181,Vi,Jungle,53.43%,3.83%,0.14%,2.79,6.47,6.14,7.38,8,14278,23302,6714,32.2,8.3,76.68,10820,17,2
182,Viktor,Middle,52.74%,0.89%,0.03%,2.48,6.97,5.97,7.03,7,24419,17464,2195,164.9,1.84,5.79,11512,12,3
183,Vladimir,Middle,48.61%,1.84%,0.67%,2.67,6.91,5.97,6.44,8,22708,28772,21928,166.5,1.9,3.62,11441,23,12
184,Vladimir,Top,45.95%,1.26%,0.67%,2.59,5.34,5.9,5.77,7,20706,28050,21119,169,1.68,3.21,10962,32,9
185,Volibear,Jungle,53.57%,5.92%,2.67%,3.41,5.65,5.28,8.3,8,14016,30620,8820,39.7,7.66,69.69,10557,1,0
186,Volibear,Top,48.97%,2.52%,2.67%,3.7,5.88,5.95,6.59,6,18386,28501,4871,140.9,2.19,3.47,10893,13,7
187,Warwick,Jungle,52.44%,5.10%,0.59%,2.63,6.77,6.26,7.51,9,13197,33663,16260,33,8.09,68.24,10715,7,1
188,Wukong,Jungle,50.15%,1.82%,0.55%,3.27,6.47,5.72,7.02,8,13875,25721,7906,43.8,7.37,66.89,10740,29,7
189,Wukong,Top,49.82%,1.75%,0.55%,3.25,6.26,5.67,6.13,8,17121,24595,4292,151.7,2.56,3.67,11325,23,9
190,Xayah,ADC,49.62%,2.72%,0.09%,2.42,7.2,6.11,7.35,8,19912,18748,2771,163.4,2.37,7.27,11928,17,0
191,Xerath,Middle,51.17%,1.29%,0.22%,2.67,6.93,5.27,8.66,6,24980,15404,1298,150.2,1.05,4.24,11121,10,3
192,Xerath,Support,50.61%,1.67%,0.22%,4.38,4.6,5.64,9.17,7,18870,12967,977,45.9,0.55,1.28,8754,15,4
